Ticker,Date,Forecast,Lower_95,Upper_95
BEL.NS,2025-06-09,390.54805155539344,376.4054584737097,405.22202093508605
BEL.NS,2025-06-10,391.392863815014,376.30623364089274,407.0843375704082
BEL.NS,2025-06-11,392.24014908961357,376.68448387150477,408.4382053026762
BEL.NS,2025-06-12,393.08926102838376,377.2860721517754,409.55439000059494
BEL.NS,2025-06-13,393.94021119197623,377.9968030359195,410.55609134141775
DLF.NS,2025-06-09,876.3111048978681,822.5152070955995,933.6254770035737
DLF.NS,2025-06-10,877.5773072178148,837.621034114627,919.4395780159913
DLF.NS,2025-06-11,878.8033492637239,843.100390796403,916.0182287990866
DLF.NS,2025-06-12,880.0298465278881,845.421804276526,916.0545976722708
DLF.NS,2025-06-13,881.2580178770808,846.8886982418843,917.0221490555633
IRFC.NS,2025-06-09,146.2665718169217,140.24568155032557,152.5459450485664
IRFC.NS,2025-06-10,146.3906343869248,140.3059306776595,152.73921588845968
IRFC.NS,2025-06-11,146.51479299728155,140.3679268846986,152.93083714678926
IRFC.NS,2025-06-12,146.6390568783192,140.43160956778917,153.1208897223598
IRFC.NS,2025-06-13,146.76342615141488,140.4969137553205,153.30944061314747
JIOFIN.NS,2025-06-09,296.1032848002719,284.21833303289867,308.485220970465
JIOFIN.NS,2025-06-10,296.2223432868843,283.67726115994924,309.322207580455
JIOFIN.NS,2025-06-11,296.337078379849,283.4078781433975,309.8561147911074
JIOFIN.NS,2025-06-12,296.45171574962154,283.29377666327485,310.22079202026936
JIOFIN.NS,2025-06-13,296.5663928431201,283.2699885909363,310.4869167449602
JMFINANCIL.NS,2025-06-09,139.50301227924805,130.6851258601233,148.9158793466205
JMFINANCIL.NS,2025-06-10,139.66186318318523,130.8299573338841,149.08998233500893
JMFINANCIL.NS,2025-06-11,139.8243262162176,130.97816533478778,149.2679497521297
JMFINANCIL.NS,2025-06-12,139.9868537634318,131.12642648875348,149.4459946124223
JMFINANCIL.NS,2025-06-13,140.14957474305632,131.27486154911097,149.62425455167087
LTFOODS.NS,2025-06-09,471.4944088275524,445.7966266608918,498.6735301717466
LTFOODS.NS,2025-06-10,472.79293570193664,446.8422711595347,500.250702489712
LTFOODS.NS,2025-06-11,474.0942401975335,447.9502594922023,501.76407720640964
LTFOODS.NS,2025-06-12,475.3991326833455,449.1014353574796,503.2367246303283
LTFOODS.NS,2025-06-13,476.7076166929999,450.28262104460913,504.683372602574
PARADEEP.NS,2025-06-09,172.56301592554593,162.51604511303395,183.2311046248318
PARADEEP.NS,2025-06-10,172.88531945100456,162.83532004888372,183.55559268531556
PARADEEP.NS,2025-06-11,173.21508726459078,163.16133703413126,183.8883340959841
PARADEEP.NS,2025-06-12,173.54522546331702,163.48742045318966,184.22179026145335
PARADEEP.NS,2025-06-13,173.8760026337257,163.81382854007916,184.5562402229463
RPOWER.NS,2025-06-09,62.28906527402542,58.0057996756995,66.88861586951325
RPOWER.NS,2025-06-10,62.41951714547007,58.15194719569471,67.000269269781
RPOWER.NS,2025-06-11,62.54393550872315,58.28668847763559,67.11213093569802
RPOWER.NS,2025-06-12,62.66810013139516,58.41675590829113,67.22884064709191
RPOWER.NS,2025-06-13,62.79247133227966,58.54362175561557,67.34968452198562
SAMHI.NS,2025-06-09,212.04954239929677,201.16377072459136,223.52438647270986
SAMHI.NS,2025-06-10,212.3025294150592,201.41759215231514,223.77570655272083
SAMHI.NS,2025-06-11,212.4922014186391,201.61104747873708,223.96062233891993
SAMHI.NS,2025-06-12,212.6892198819482,201.81117852020188,224.15361024941134
SAMHI.NS,2025-06-13,212.8856111877371,202.0104266245845,224.34625879484648
ZEEL.NS,2025-06-09,127.12607785504943,121.47919335483634,133.03545425760504
ZEEL.NS,2025-06-10,127.01958630298223,119.87491583284553,134.5900866122658
ZEEL.NS,2025-06-11,126.91547279464612,118.9648577796531,135.39744034766102
ZEEL.NS,2025-06-12,126.81128397837267,118.3871302616869,135.83488094269427
ZEEL.NS,2025-06-13,126.70719196902404,117.99475580032026,136.06293252425658
